architecture,run,trial,val_acc,test_acc,train_seed,lr,lr_decay,weight_decay,selected_by_val,selected_by_test
MLP-Giant,0,52,81.84,82.53,449656374,0.005493370277482968,0.1416558000583805,3.353682661847745e-06,False,False
MLP-Giant,0,53,82.04,82.7,943653635,0.0017732246624672047,0.0,4.493385518195077e-05,False,False
MLP-Giant,0,54,74.55,74.69,383333653,0.0004484413373240345,0.0,6.280878087288721e-05,False,False
MLP-Giant,0,55,82.88,82.91,1910509008,0.021809124680491034,0.2129620124532747,5.165368472295609e-05,False,False
MLP-Giant,0,56,71.29,71.74,1445952882,0.00021537616984548789,0.4402830649014316,8.022067757247175e-05,False,False
MLP-Giant,0,57,71.27,71.95,763214019,0.0002599976146059169,0.3367884305190946,6.398151112074312e-06,False,False
MLP-Giant,0,58,79.09,78.99,1803281845,0.00213665717498244,0.0,4.6495794870668493e-05,False,False
MLP-Giant,0,59,71.49,71.92,1391048161,0.0003334147986303255,0.19032168632243726,0.002117724893817808,False,False
MLP-Giant,0,60,80.99,81.37,1878587287,0.003173660579579357,0.26624185604964246,0.0006318029970966316,False,False
MLP-Giant,0,61,79.75,80.3,1714568259,0.013193553759951031,0.17298018613140892,1.262781689059132e-06,False,False
MLP-Giant,0,62,82.58,83.16,411943623,0.0049098638218122055,0.38679830377906005,4.95171341876897e-06,False,False
MLP-Giant,0,63,69.06,70.25,1280139824,0.00036459896927118214,0.226328347518593,0.0057887915841977906,False,False
MLP-Giant,0,64,69.05,70.74,1453248000,0.0001834939668182316,0.0,0.004548750566316332,False,False
MLP-Giant,0,65,70.35,71.33,21397016,0.00015507595637627078,0.0,0.0006969429384274667,False,False
MLP-Giant,0,66,76.78,77.61,1800090779,0.0007707102755491981,0.20232502464791843,0.0007189666958920294,False,False
MLP-Giant,0,67,72.83,73.75,1329753255,0.0003532725329868983,0.20787965866839928,1.0285448893487714e-06,False,False
MLP-Giant,0,68,74.42,74.98,435144986,0.00045076205199640957,0.1834428646884887,1.977017990476918e-05,False,False
MLP-Giant,0,69,76.49,77.26,2144965944,0.0014671949824717507,0.0,0.0018815725130501117,False,False
MLP-Giant,0,70,79.64,80.07,50291864,0.0015340237720022573,0.11039401594650258,0.000474621333949831,False,False
MLP-Giant,0,71,82.63,82.9,1602093330,0.02400763648600603,0.22183863473071755,5.395909277767246e-05,False,False
MLP-Giant,0,72,82.34,82.44,1856529477,0.023439314405771725,0.31337439483438956,6.635284934367169e-05,False,False
MLP-Giant,0,73,81.58,81.72,89154571,0.005690131777158038,0.0,9.509806741443447e-05,False,False
MLP-Giant,0,74,77.64,77.75,1953882634,0.009361599601379883,0.0,4.779542520295375e-05,False,False
MLP-Giant,0,75,66.09,66.61,2047215510,0.00015453928737934613,0.18309320226435585,2.110854565937453e-05,False,False
MLP-Giant,0,76,80.11,80.04,397780004,0.054297994764369535,0.17650149202457846,2.218126943444586e-06,False,False
MLP-Giant,0,77,63.09,63.96,548838793,0.0001004419690631432,0.3225526762217295,0.0022206370331345465,False,False
MLP-Giant,0,78,74.98,75.2,1017800383,0.0005547948608068619,0.14427473587532208,3.558253495680099e-06,False,False
MLP-Giant,0,79,77.75,79.04,1895780144,0.005792022486794751,0.27659066563180834,0.0029549729024704197,False,False
MLP-Giant,0,80,75.53,75.16,794032429,0.03166268499518463,0.0,0.00018981275938494463,False,False
MLP-Giant,0,81,71.45,72.19,1393702777,0.00029638530861293797,0.2810467643082354,0.000855894813028347,False,False
MLP-Giant,0,82,81.89,82.1,1367831311,0.0026565426611423384,0.10990218340518365,5.6104316020391344e-05,False,False
MLP-Giant,0,83,80.43,79.84,1970271139,0.039754375026289736,0.43088898360806593,7.115745149384749e-05,False,False
MLP-Giant,0,84,76.33,76.97,993219670,0.0008015508696923961,0.47002458884787796,2.5859550159702244e-05,False,False
MLP-Giant,0,85,79.43,79.76,1256944352,0.03111120418260704,0.22857630619996802,0.0016296019512859973,False,False
MLP-Giant,0,86,73.28,73.28,1850697296,0.0002723280609881939,0.0,1.3069580370823647e-06,False,False
