architecture,run,trial,val_acc,test_acc,train_seed,lr,lr_decay,weight_decay
MLP-Tiny,5,9,47.397260273972606,45.96443228454172,1716986099,0.0015577845469755,4.9202625982166514e-05,1.2370101154130963e-05
MLP-Tiny,6,0,38.23933975240716,38.65199449793673,1639320038,0.0001198307307172,0.0,0.0008260663715988
MLP-Tiny,6,1,47.04264099037139,45.2544704264099,703494105,0.0029137189772268,0.0,4.1613070126867945e-05
MLP-Tiny,6,2,53.507565337001374,54.7455295735901,1632205976,0.0109121886302757,2.657829957098554e-05,4.178281403205342e-06
MLP-Tiny,6,3,38.10178817056397,37.27647867950481,2766925,0.000101957974226,1.6192812980282853e-05,8.489126538713986e-05
MLP-Tiny,6,4,28.060522696011,24.34662998624484,1281240674,0.0002661680689797,0.0016367808114294,0.0007554277242388
MLP-Tiny,6,5,36.86382393397524,34.66299862448418,2002213007,0.0001053172844539,0.0,0.0002910481225028
MLP-Tiny,6,6,51.44429160935351,49.9312242090784,2045792071,0.0063825403774627,0.0002384445317156,2.3990115713512227e-05
MLP-Tiny,6,7,37.68913342503439,40.02751031636864,1276029820,0.00021332012578,4.50078678842646e-05,3.3473933255815824e-05
MLP-Tiny,6,8,51.30674002751032,51.71939477303989,1586073533,0.0059336038615314,7.424922727246323e-05,5.159720638702002e-05
MLP-Tiny,6,9,52.81980742778542,51.5818431911967,1352378410,0.0317562940213293,0.0035018665529969,2.169008711213155e-05
MLP-Tiny,7,0,30.082417582417584,31.13854595336077,1739598789,0.0004052240662227,0.000952156613907,1.3219368841671105e-06
MLP-Tiny,7,1,55.76923076923077,54.869684499314126,97440496,0.0032622974833714,1.0260812720404072e-05,0.0030834642328827
MLP-Tiny,7,2,50.0,50.480109739369,839041003,0.0299696972855343,0.0003563767572375,1.473288734154792e-06
MLP-Tiny,7,3,31.593406593406595,32.37311385459534,1461600379,0.0039028390405929,0.0067247713434174,3.775492756957062e-06
MLP-Tiny,7,4,50.0,48.97119341563786,67898539,0.0389626024124184,1.3275484259045558e-05,3.2069214994882687e-06
MLP-Tiny,7,5,32.967032967032964,33.74485596707819,558155315,0.0076179552396548,0.0091146669788257,9.222524577744393e-06
MLP-Tiny,7,6,52.1978021978022,51.30315500685871,1521232725,0.0173537837385919,0.0,3.9204212448286434e-05
MLP-Tiny,7,7,53.2967032967033,48.42249657064472,714239329,0.0038288391338737,7.948512705293796e-05,0.0002014874248861
MLP-Tiny,7,8,48.21428571428572,48.83401920438958,1033027383,0.0005938430355121,0.0,8.783749076674254e-05
MLP-Tiny,7,9,22.664835164835164,22.770919067215363,1586201102,0.0001056176293594,0.000962289290185,1.3736808401401723e-06
MLP-Tiny,8,0,49.11804613297151,50.2710027100271,1624525460,0.0051837541946667,0.0,1.335231802033663e-06
MLP-Tiny,8,1,50.61058344640434,51.21951219512195,760674423,0.0230364348850689,0.0003903876850159,8.38451861765732e-06
