architecture,run,val_strategy_test_acc,test_strategy_test_acc,gap
MLP-Larger,4,64.6900269541779,64.82479784366576,0.13477088948786786
MLP-Larger,5,61.16504854368932,65.04854368932038,3.883495145631059
MLP-Larger,6,63.68563685636856,67.61517615176152,3.9295392953929564
MLP-Larger,7,64.332892998679,64.332892998679,0.0
MLP-Larger,8,60.13793103448276,65.51724137931035,5.379310344827587
MLP-Larger,9,66.16022099447514,66.16022099447514,0.0
MLP-Larger,10,61.7687074829932,63.265306122448976,1.496598639455776
MLP-Larger,11,62.39554317548747,64.62395543175488,2.2284122562674114
MLP-Larger,12,62.5503355704698,62.5503355704698,0.0
MLP-Larger,13,65.86666666666666,65.86666666666666,0.0
MLP-Larger,14,63.35149863760218,63.35149863760218,0.0
MLP-Larger,15,62.05479452054794,62.05479452054794,0.0
MLP-Larger,16,61.58113730929265,62.96809986130374,1.3869625520110915
MLP-Larger,17,63.80952380952381,64.21768707482993,0.4081632653061149
MLP-Larger,18,64.32432432432432,65.67567567567568,1.3513513513513544
MLP-Larger,19,66.13333333333334,66.13333333333334,0.0
MLP-Larger,20,64.45945945945945,65.8108108108108,1.3513513513513544
MLP-Larger,21,64.31478968792402,64.85753052917232,0.5427408412483032
MLP-Larger,22,66.94214876033058,67.21763085399449,0.27548209366391063
MLP-Larger,23,61.772853185595565,67.31301939058172,5.54016620498615
MLP-Larger,24,58.86332882273342,62.92286874154262,4.0595399188092
MLP-Larger,25,65.52197802197803,65.52197802197803,0.0
MLP-Larger,26,63.12925170068027,63.12925170068027,0.0
MLP-Larger,27,63.994565217391305,63.994565217391305,0.0
MLP-Larger,28,62.892223738062754,64.25648021828104,1.3642564802182875
MLP-Larger,29,64.1711229946524,64.1711229946524,0.0
MLP-Huge,0,66.62106703146375,66.62106703146375,0.0
MLP-Huge,1,61.33879781420765,61.33879781420765,0.0
MLP-Huge,2,65.14745308310992,65.14745308310992,0.0
MLP-Huge,3,62.3989218328841,62.3989218328841,0.0
MLP-Huge,4,67.84260515603799,67.84260515603799,0.0
MLP-Huge,5,66.39566395663957,66.39566395663957,0.0
MLP-Huge,6,62.993197278911566,66.80272108843538,3.80952380952381
MLP-Huge,7,63.04347826086956,63.04347826086956,0.0
MLP-Huge,8,65.10695187165776,65.10695187165776,0.0
MLP-Huge,9,61.03542234332425,62.67029972752044,1.6348773841961872
MLP-Huge,10,63.01939058171745,64.54293628808864,1.5235457063711877
MLP-Huge,11,68.20027063599458,68.20027063599458,0.0
MLP-Huge,12,60.05434782608695,61.54891304347826,1.4945652173913047
MLP-Huge,13,64.08544726301736,64.08544726301736,0.0
MLP-Huge,14,60.6425702811245,62.11512717536814,1.4725568942436382
MLP-Huge,15,67.41424802110818,67.41424802110818,0.0
MLP-Huge,16,66.21067031463748,66.21067031463748,0.0
MLP-Huge,17,61.48648648648648,62.2972972972973,0.8108108108108212
MLP-Huge,18,68.08803301237964,68.08803301237964,0.0
MLP-Huge,19,64.68200270635995,64.68200270635995,0.0
MLP-Huge,20,61.08843537414966,64.08163265306122,2.993197278911559
MLP-Huge,21,62.68260292164675,64.40903054448872,1.7264276228419675
MLP-Huge,22,65.075034106412,65.075034106412,0.0
MLP-Huge,23,61.32971506105834,62.82225237449118,1.492537313432841
MLP-Huge,24,67.06827309236948,67.06827309236948,0.0
MLP-Huge,25,64.36314363143632,65.04065040650407,0.677506775067755
MLP-Huge,26,66.57608695652173,66.57608695652173,0.0
MLP-Huge,27,66.39676113360323,66.39676113360323,0.0
MLP-Huge,28,63.50067842605156,65.80732700135685,2.306648575305296
MLP-Huge,29,63.51165980795611,65.02057613168725,1.5089163237311425
MLP-Giant,0,64.56908344733242,65.11627906976744,0.5471956224350265
MLP-Giant,1,63.73626373626374,63.73626373626374,0.0
MLP-Giant,2,61.37931034482759,65.37931034482759,4.0
MLP-Giant,3,64.44141689373296,64.44141689373296,0.0
MLP-Giant,4,64.97948016415869,64.97948016415869,0.0
MLP-Giant,5,64.05405405405405,64.86486486486487,0.8108108108108212
MLP-Giant,6,63.80952380952381,63.80952380952381,0.0
MLP-Giant,7,61.15702479338843,64.73829201101928,3.5812672176308524
MLP-Giant,8,66.0300136425648,66.84856753069577,0.8185538881309782
MLP-Giant,9,65.9400544959128,66.7574931880109,0.8174386920980936
MLP-Giant,10,63.46414073071718,63.46414073071718,0.0
MLP-Giant,11,62.77173913043478,65.76086956521739,2.9891304347826093
MLP-Giant,12,62.96791443850268,63.90374331550802,0.9358288770053349
MLP-Giant,13,66.29526462395543,66.29526462395543,0.0
MLP-Giant,14,64.6896551724138,66.20689655172414,1.5172413793103487
MLP-Giant,15,64.1025641025641,64.1025641025641,0.0
MLP-Giant,16,68.20083682008368,68.20083682008368,0.0
MLP-Giant,17,64.93150684931507,67.26027397260275,2.328767123287676
MLP-Giant,18,66.39566395663957,66.39566395663957,0.0
MLP-Giant,19,66.66666666666667,66.66666666666667,0.0
MLP-Giant,20,63.76021798365122,63.76021798365122,0.0
MLP-Giant,21,63.30150068212824,64.39290586630287,1.0914051841746257
MLP-Giant,22,63.983050847457626,69.91525423728814,5.932203389830512
MLP-Giant,23,66.12903225806451,66.12903225806451,0.0
