architecture,run,trial,val_acc,test_acc,train_seed,lr,weight_decay,momentum,max_steps
shake_shake_32d,2,13,94.65655745103348,94.94584837545126,1407685528,0.0523765948789362,0.0001854457358172,0.916344734892334,77922
shake_shake_32d,2,14,93.1672533622168,93.014440433213,1655561050,0.0691025486837835,0.0048740487696297,0.800581568177317,95328
shake_shake_32d,2,15,44.54373138369889,45.75812274368231,1188227347,0.1655527216837258,0.0050314597931781,0.92436099098542,137148
shake_shake_32d,2,16,94.9634443541836,95.56859205776172,1878560227,0.0106439739071834,0.0013908932769777,0.9594094584219636,109405
shake_shake_32d,2,17,93.88031410777144,94.21480144404332,1601873952,0.1006443624845962,4.312884970044145e-05,0.8679347361389326,92111
shake_shake_32d,2,18,80.74735987002437,81.54332129963899,338838759,0.0546824135904175,0.0094657211710737,0.9019402856502,76121
shake_shake_32d,2,19,92.07509703041792,92.56317689530684,2137891951,0.005267754811535,1.793080601014482e-05,0.96479754599297,81410
shake_shake_32d,2,20,95.08980954959834,95.21660649819496,1773254277,0.0729786359777694,0.0003170911396344,0.8417706861831498,103252
shake_shake_32d,2,21,86.74068056683817,87.24729241877256,1346140500,0.044738425035053,0.0056933419953105,0.9072281278645292,121355
shake_shake_32d,2,22,93.32069681379186,93.4837545126354,462794346,0.0670728288213363,1.2425482162516507e-05,0.8405222520410214,111252
shake_shake_32d,2,23,93.6185576315552,93.67328519855596,1524934105,0.0183983368429231,0.0087351374807851,0.887935923274492,102072
shake_shake_32d,2,24,94.80097481722176,95.03610108303248,1953931100,0.0112489837958907,0.001363086975917,0.9174806233517948,80427
shake_shake_32d,2,25,94.50311399945844,94.7653429602888,669224224,0.0828706183426231,0.0001126571630047,0.9053144710764398,78784
shake_shake_32d,2,26,90.93781027168517,90.92960288808663,1009647354,0.2471624670100509,0.0005046990497769,0.9096751134161144,105356
shake_shake_32d,2,27,93.02283599602852,93.28519855595668,532260291,0.0286492965740129,1.0616645244124252e-05,0.966513288365242,79655
shake_shake_32d,2,28,94.88220958570268,95.26173285198556,98719080,0.0227457628744814,0.001174762298381,0.9117475988990498,85788
shake_shake_32d,2,29,94.21427926708186,94.79241877256318,704460009,0.0245558509837115,0.0002616606087542,0.918951942588369,85752
shake_shake_32d,3,0,94.90092710416288,95.38265769860026,622755619,0.0194047234097486,0.0005556914233904,0.8806961845983536,95801
shake_shake_32d,3,1,94.35557171423378,94.52826758771133,1731653704,0.0680681994574786,0.0011822661146164,0.9087445055459756,83404
shake_shake_32d,3,2,94.63733866569714,94.94637338665696,1886571239,0.1219515989482086,9.226891081654648e-05,0.8509471901169119,90573
shake_shake_32d,3,3,92.1468823850209,92.61952372295946,873786573,0.0593942035317863,0.0021178910061482,0.9046236433850338,107589
shake_shake_32d,3,4,94.98273041265224,95.17360479912745,788693069,0.2164915002728485,3.334943900573888e-05,0.9473487759462248,100590
shake_shake_32d,3,5,92.51954190147246,92.18323941101616,1502270345,0.0277391925328918,0.0012468249764536,0.9654018623757152,84160
shake_shake_32d,3,6,91.3015815306308,91.22886747864024,824367851,0.0065475585879308,2.4982649778867115e-05,0.8916050127715517,90943
shake_shake_32d,3,7,72.95946191601527,72.75040901654245,1374175835,0.1268878164719568,0.0056814438918079,0.8588755513264567,84009
shake_shake_32d,3,8,92.64679149245592,92.82857662243228,150137242,0.0424845557898404,1.7997816857442135e-05,0.8110449013593173,78720
shake_shake_32d,3,9,95.2554081076168,95.63715688056718,2044759285,0.0302583113988908,0.0012387322116811,0.8656062592716656,136587
shake_shake_32d,3,10,93.99200145428104,94.0738047627704,970024630,0.0756003160157292,0.0002085102618709,0.9729558736027372,100668
shake_shake_32d,3,11,92.42864933648428,92.87402290492638,100659471,0.034665718299589,0.008825456885551,0.8447133852476578,93737
shake_shake_32d,3,12,95.18269405562624,95.29176513361207,1203516432,0.0642803976999902,0.0003425198099672,0.8186320929438253,101593
shake_shake_32d,3,13,94.98273041265224,95.2099618251227,1381231963,0.1465517373505587,4.152353929891636e-05,0.9203427114080984,119723
shake_shake_32d,3,14,95.18269405562624,95.63715688056718,591142272,0.1065239558798497,0.0005728821827689,0.8594412450659266,99455
