val_trial,test_trial,new_trial,val_test_acc,test_test_acc,new_test_acc,val_cifar101_acc,test_cifar101_acc,new_cifar101_acc,n_trials,architecture,run,source
14,15,16,92.23037218147245,92.46581544870054,92.31187177397446,82.85,83.65,84.6,29,resnet_basic_20,13,random
29,7,13,92.31329027562995,92.55890111889384,92.01309924497409,83.85,84.0,84.3,30,resnet_basic_20,14,random
12,1,12,92.01191443271054,92.13827962812528,92.01191443271054,84.5,83.95,84.5,20,resnet_basic_20,15,random
6,16,7,92.5090579710145,92.83514492753623,91.81159420289856,83.85,83.45,84.0,20,resnet_basic_20,16,random
11,11,13,92.41211903263508,92.41211903263508,91.6119751865504,82.55,82.55,83.95,20,resnet_basic_20,17,random
12,12,9,92.07588272669511,92.07588272669511,91.8580375782881,84.4,84.4,84.55,20,resnet_basic_20,18,random
1,0,0,91.92816978051876,92.2909486667876,92.2909486667876,83.65,83.75,83.75,20,resnet_basic_20,19,random
6,18,9,92.5231103860794,92.80406017763278,92.0699655609933,83.1,82.65,83.85,20,resnet_basic_20,20,random
5,13,6,92.58655066159145,92.66811673010696,92.14246873300706,84.05,83.2,84.55,20,resnet_basic_20,21,random
12,14,11,92.11073916583732,92.1831177056003,91.88455622907809,83.7,83.7,84.25,20,resnet_basic_20,22,random
16,16,15,92.41079514580692,92.41079514580692,92.2115558775584,83.65,83.65,84.55,20,resnet_basic_20,23,random
15,15,16,92.62162162162164,92.62162162162164,92.49549549549548,83.3,83.3,84.0,20,resnet_basic_20,24,random
2,10,10,92.04452891664404,92.14408543759616,92.14408543759616,83.4,83.8,83.8,20,resnet_basic_20,25,random
5,5,8,92.88699127906976,92.88699127906976,92.42369186046513,84.0,84.0,84.15,20,resnet_basic_20,26,random
15,12,4,91.91249886538984,92.3572660433875,92.320958518653,82.4,83.6,83.65,20,resnet_basic_20,27,random
4,2,2,92.37802118222142,92.39612564497148,92.39612564497148,84.35,84.6,84.6,20,resnet_basic_20,28,random
6,6,12,92.259471245571,92.259471245571,92.05959843735803,84.1,84.1,85.2,20,resnet_basic_20,29,random
0,28,0,93.35089472249976,93.52348078844582,93.35089472249976,86.25,86.25,86.25,28,resnet_basic_32,0,random
1,10,3,92.7735781137509,93.1425485961123,92.83657307415407,83.55,84.75,85.1,30,resnet_basic_32,1,random
27,1,2,92.95034432765496,93.59369336716202,92.95940558173253,86.2,85.15,86.2,30,resnet_basic_32,2,random
14,9,14,92.58286542293062,92.67342872667994,92.58286542293062,85.3,82.95,85.3,30,resnet_basic_32,3,random
8,8,6,92.42973708068902,92.42973708068902,92.41160471441523,84.8,84.8,85.15,30,resnet_basic_32,4,random
5,23,5,93.27525183773484,93.48398221254196,93.27525183773484,85.55,85.35,85.55,30,resnet_basic_32,5,random
6,6,18,93.4978386167147,93.4978386167147,92.44416426512969,84.45,84.45,85.75,30,resnet_basic_32,6,random
0,0,0,93.06939662982424,93.06939662982424,93.06939662982424,85.65,85.65,85.65,29,resnet_basic_32,7,random
6,6,21,93.2284603562065,93.2284603562065,92.5232799927674,85.15,85.15,86.15,29,resnet_basic_32,8,random
9,28,28,92.89780428300352,93.24116743471582,93.24116743471582,84.1,85.5,85.5,28,resnet_basic_32,9,random
26,15,26,93.22784810126582,93.54430379746836,93.22784810126582,86.25,85.75,86.25,30,resnet_basic_32,10,random
6,12,6,92.93893129770991,92.98436932024718,92.93893129770991,86.3,85.8,86.3,30,resnet_basic_32,11,random
20,5,15,93.1524197195839,93.3152419719584,92.94436906377204,85.2,85.1,86.0,30,resnet_basic_32,12,random
9,9,15,93.3925496238557,93.3925496238557,92.92123629112662,84.95,84.95,86.4,30,resnet_basic_32,13,random
13,13,14,93.14151284835324,93.14151284835324,92.50814332247558,85.1,85.1,85.95,28,resnet_basic_32,14,random
13,13,13,93.07936507936508,93.07936507936508,93.07936507936508,85.75,85.75,85.75,27,resnet_basic_32,15,random
14,18,18,92.9526563064691,93.18756776292012,93.18756776292012,85.3,85.75,85.75,20,resnet_basic_32,16,random
17,15,8,92.92091261610604,93.1012715303454,92.93894850753,84.4,84.05,84.85,20,resnet_basic_32,17,random
