architecture,run,val_strategy_test_acc,test_strategy_test_acc,gap
resnet_basic_56,0,94.33073718529252,94.33073718529252,0.0
resnet_basic_56,1,93.77428390711124,93.77428390711124,0.0
resnet_basic_56,2,93.61798567672922,93.74490073429426,0.12691505756504284
resnet_basic_56,3,93.89009399855388,93.89009399855388,0.0
resnet_basic_56,4,93.26809821509468,93.4311860106913,0.16308779559662412
resnet_basic_56,5,93.6039693279206,93.6039693279206,0.0
resnet_basic_56,6,93.86258712772698,93.86258712772698,0.0
resnet_basic_56,7,93.6855436945902,93.82124117966347,0.13569748507327972
resnet_basic_56,8,94.0012647935676,94.0012647935676,0.0
resnet_basic_56,9,93.51767905711696,93.59020852221217,0.07252946509520086
resnet_basic_56,10,94.03403947130182,94.03403947130182,0.0
resnet_basic_56,11,93.73180494905384,93.73180494905384,0.0
resnet_basic_56,12,93.82470119521912,93.82470119521912,0.0
resnet_basic_56,13,93.64605929139552,93.70932754880694,0.06326825741142272
resnet_basic_56,14,93.85019472873834,94.02228059052622,0.17208586178787755
resnet_basic_56,15,93.91170616971232,93.91170616971232,0.0
resnet_basic_56,16,93.733019380547,93.85075167542112,0.1177322948741164
resnet_basic_56,17,94.16870084079196,94.16870084079196,0.0
resnet_basic_56,18,93.293564714389,93.293564714389,0.0
resnet_basic_56,19,93.7737556561086,93.7737556561086,0.0
resnet_basic_56,20,93.68231046931407,93.68231046931407,0.0
resnet_basic_56,21,93.78082191780824,94.11872146118722,0.3378995433789811
resnet_basic_56,22,93.4035024045005,93.92069685146538,0.5171944469648793
resnet_basic_56,23,93.7805098535527,93.81666967998554,0.03615982643283644
resnet_basic_56,24,93.5986943512558,93.6984314081059,0.09973705685010259
resnet_basic_56,25,93.791233619521,93.791233619521,0.0
resnet_basic_56,26,93.58221097351532,93.58221097351532,0.0
resnet_basic_56,27,93.73925631050392,93.73925631050392,0.0
resnet_basic_56,28,93.35578410849186,93.7471557294985,0.39137162100664113
resnet_basic_56,29,93.84267631103074,93.93309222423146,0.09041591320071518
vgg_15_BN_64,0,93.30574050746806,93.74662587727192,0.4408853698038655
vgg_15_BN_64,1,93.76590330788804,93.76590330788804,0.0
vgg_15_BN_64,2,93.71433746943212,93.71433746943212,0.0
vgg_15_BN_64,3,93.46842771847297,93.64031119956576,0.1718834810927916
vgg_15_BN_64,4,93.27859978347168,93.27859978347168,0.0
vgg_15_BN_64,5,93.50920134167346,93.50920134167346,0.0
vgg_15_BN_64,6,93.4072928980631,93.64372101482222,0.23642811675911446
vgg_15_BN_64,7,93.61028147343652,93.61028147343652,0.0
vgg_15_BN_64,8,93.69125090383226,93.69125090383226,0.0
vgg_15_BN_64,9,93.52061622111464,93.6202990484821,0.09968282736745948
vgg_15_BN_64,10,93.70875892615022,93.87146343668084,0.16270451053061663
vgg_15_BN_64,11,94.09470246734398,94.10377358490568,0.00907111756170309
vgg_15_BN_64,12,93.774810537712,94.20786719595814,0.43305665824614437
vgg_15_BN_64,13,93.54984212900315,93.54984212900315,0.0
vgg_15_BN_64,14,93.2519222071461,93.49615558570784,0.24423337856174498
vgg_15_BN_64,15,93.4011073795044,93.4011073795044,0.0
vgg_15_BN_64,16,94.04534280251298,94.04534280251298,0.0
vgg_15_BN_64,17,93.97394136807816,93.97394136807816,0.0
vgg_15_BN_64,18,93.74033299972704,94.44090619597851,0.7005731962514687
vgg_15_BN_64,19,94.19671237853056,94.19671237853056,0.0
vgg_15_BN_64,20,93.4768841038632,93.4768841038632,0.0
vgg_15_BN_64,21,93.3785004516712,93.51400180668472,0.1355013550135169
vgg_15_BN_64,22,93.66699792212484,93.73927184027464,0.07227391814980422
vgg_15_BN_64,23,93.1966618287373,93.62300435413644,0.42634252539913575
vgg_15_BN_64,24,93.27435226144264,93.4097679877223,0.13541572627966048
vgg_15_BN_64,25,93.52903753521768,93.52903753521768,0.0
vgg_15_BN_64,26,93.67764109985528,93.67764109985528,0.0
vgg_15_BN_64,27,93.3848642818623,93.48373179938882,0.09886751752651435
vgg_15_BN_64,28,93.5440057950018,93.5440057950018,0.0
vgg_15_BN_64,29,93.32489146164978,93.7590448625181,0.4341534008683112
resnet_basic_20,0,92.24271050958306,92.66963393587064,0.42692342628757274
